There are/is 299 red points in image
The full report is: 
{:rgb=>"252,252,254", :percent=>0.01, :quantity=>27}
{:rgb=>"4,75,144", :percent=>0.01, :quantity=>26}
{:rgb=>"5,75,144", :percent=>0.01, :quantity=>25}
{:rgb=>"39,84,148", :percent=>0.01, :quantity=>24}
{:rgb=>"2,75,144", :percent=>0.01, :quantity=>23}
{:rgb=>"0,66,141", :percent=>0.0, :quantity=>22}
{:rgb=>"0,69,141", :percent=>0.0, :quantity=>22}
{:rgb=>"7,76,145", :percent=>0.0, :quantity=>22}
{:rgb=>"18,77,145", :percent=>0.0, :quantity=>22}
{:rgb=>"26,80,147", :percent=>0.0, :quantity=>22}
{:rgb=>"114,132,180", :percent=>0.0, :quantity=>22}
{:rgb=>"249,249,252", :percent=>0.0, :quantity=>22}
{:rgb=>"13,76,145", :percent=>0.0, :quantity=>21}
{:rgb=>"181,185,215", :percent=>0.0, :quantity=>21}
{:rgb=>"0,75,144", :percent=>0.0, :quantity=>20}
{:rgb=>"16,77,146", :percent=>0.0, :quantity=>20}
{:rgb=>"255,254,255", :percent=>0.0, :quantity=>20}
{:rgb=>"0,64,140", :percent=>0.0, :quantity=>19}
{:rgb=>"0,70,143", :percent=>0.0, :quantity=>19}
{:rgb=>"6,75,144", :percent=>0.0, :quantity=>19}
{:rgb=>"19,78,145", :percent=>0.0, :quantity=>19}
{:rgb=>"213,214,235", :percent=>0.0, :quantity=>19}
{:rgb=>"0,52,137", :percent=>0.0, :quantity=>18}
{:rgb=>"121,135,178", :percent=>0.0, :quantity=>18}
{:rgb=>"246,247,249", :percent=>0.0, :quantity=>18}
{:rgb=>"0,52,136", :percent=>0.0, :quantity=>17}
{:rgb=>"0,67,142", :percent=>0.0, :quantity=>17}
{:rgb=>"4,75,145", :percent=>0.0, :quantity=>17}
{:rgb=>"25,79,147", :percent=>0.0, :quantity=>17}
{:rgb=>"250,250,253", :percent=>0.0, :quantity=>17}
{:rgb=>"0,0,130", :percent=>0.0, :quantity=>16}
{:rgb=>"0,68,142", :percent=>0.0, :quantity=>16}
{:rgb=>"0,75,145", :percent=>0.0, :quantity=>16}
{:rgb=>"243,244,247", :percent=>0.0, :quantity=>16}
{:rgb=>"243,243,250", :percent=>0.0, :quantity=>16}
{:rgb=>"248,249,250", :percent=>0.0, :quantity=>16}
{:rgb=>"251,251,252", :percent=>0.0, :quantity=>16}
{:rgb=>"254,253,255", :percent=>0.0, :quantity=>16}
{:rgb=>"0,59,138", :percent=>0.0, :quantity=>15}
{:rgb=>"0,63,139", :percent=>0.0, :quantity=>15}
{:rgb=>"0,63,140", :percent=>0.0, :quantity=>15}
{:rgb=>"0,65,141", :percent=>0.0, :quantity=>15}
{:rgb=>"0,69,143", :percent=>0.0, :quantity=>15}
{:rgb=>"8,76,145", :percent=>0.0, :quantity=>15}
